"","site","psm_crit","alpha","delta_z"
"542","845",0.18,0.83,0.602738929728583
"543","845",0.19,0.83,0.652511630760482
"544","845",0.2,0.83,0.699652983283888
"545","845",0.21,0.83,0.744138159366768
"546","845",0.22,0.83,0.787554569590835
"547","845",0.23,0.83,0.832297395634281
"548","845",0.24,0.83,0.87442072853428
"549","845",0.25,0.83,0.914831957100869
"550","845",0.26,0.83,0.949641423590297
"551","845",0.27,0.83,0.992221836145891
"552","845",0.28,0.83,1.02916628884955
"553","845",0.29,0.83,1.0659391685432
"554","845",0.3,0.83,1.10349556689506
"555","845",0.31,0.83,1.14018493480057
"556","845",0.32,0.83,1.17408005035021
"557","845",0.33,0.83,1.20512920565518
"558","845",0.34,0.83,1.23721384986362
"559","845",0.35,0.83,1.26864542870412
"560","845",0.36,0.83,1.30207246262439
"561","845",0.37,0.83,1.33416711295296
"562","845",0.38,0.83,1.36537739219803
"563","845",0.39,0.83,1.39482410949094
"564","845",0.4,0.83,1.4233071215844
"565","845",0.41,0.83,1.45145468424147
"566","845",0.42,0.83,1.48417296452961
"567","845",0.43,0.83,1.51293830302198
"568","845",0.44,0.83,1.54496879124078
"569","845",0.45,0.83,1.57426587800301
"570","845",0.46,0.83,1.60670762865146
"571","845",0.47,0.83,1.63524147008595
"572","845",0.48,0.83,1.66614227325552
"573","845",0.49,0.83,1.69714744915584
"574","845",0.5,0.83,1.72529235587191
"575","845",0.1,0.84,0.0188583804829747
"576","845",0.11,0.84,0.108922827573602
"577","845",0.12,0.84,0.182373266747171
"578","845",0.13,0.84,0.252027614049765
"579","845",0.14,0.84,0.316609891868163
"580","845",0.15,0.84,0.383558498191618
"581","845",0.16,0.84,0.443578055343262
"582","845",0.17,0.84,0.500331496715292
"583","845",0.18,0.84,0.552250895255882
"584","845",0.19,0.84,0.603090847926832
"585","845",0.2,0.84,0.649308360825508
"586","845",0.21,0.84,0.695706156578367
"587","845",0.22,0.84,0.743676470016851
"588","845",0.23,0.84,0.788613220557069
"589","845",0.24,0.84,0.827162343462102
"590","845",0.25,0.84,0.867125558984157
"591","845",0.26,0.84,0.908999672759838
"592","845",0.27,0.84,0.945341248207139
"593","845",0.28,0.84,0.984768258391591
"594","845",0.29,0.84,1.02029828957998
"595","845",0.3,0.84,1.05557902990295
"596","845",0.31,0.84,1.08736057927284
"597","845",0.32,0.84,1.12333610457019
"598","845",0.33,0.84,1.15809455796873
"599","845",0.34,0.84,1.19158682792454
"600","845",0.35,0.84,1.22584489409663
"601","845",0.36,0.84,1.25552228513256
"602","845",0.37,0.84,1.28545137654411
"603","845",0.38,0.84,1.31739441070463
"604","845",0.39,0.84,1.346928942358
"605","845",0.4,0.84,1.37974530275779
"606","845",0.41,0.84,1.41412426882434
"607","845",0.42,0.84,1.44284569983821
"608","845",0.43,0.84,1.47273482929251
"609","845",0.44,0.84,1.5011506485053
"610","845",0.45,0.84,1.53394035178769
"611","845",0.46,0.84,1.56306108007916
"612","845",0.47,0.84,1.59207972355691
"613","845",0.48,0.84,1.62098716430425
"614","845",0.49,0.84,1.64871085958382
"615","845",0.5,0.84,1.67892109020982
"616","845",0.1,0.85,-0.0316574700590717
"617","845",0.11,0.85,0.0508824747826895
"618","845",0.12,0.85,0.125937569273696
"619","845",0.13,0.85,0.19987410214783
"620","845",0.14,0.85,0.270767893240435
"621","845",0.15,0.85,0.334552751953054
"622","845",0.16,0.85,0.392287345051178
"623","845",0.17,0.85,0.445901086622215
"624","845",0.18,0.85,0.503819117485579
"625","845",0.19,0.85,0.554283235802888
"626","845",0.2,0.85,0.59955794699513
"627","845",0.21,0.85,0.64511993448742
"628","845",0.22,0.85,0.68703827970291
"629","845",0.23,0.85,0.732907859514935
"630","845",0.24,0.85,0.775992396992814
"631","845",0.25,0.85,0.817643579404892
"632","845",0.26,0.85,0.857045118759227
"633","845",0.27,0.85,0.896748915915296
"634","845",0.28,0.85,0.932616847452955
"635","845",0.29,0.85,0.969670688825123
"636","845",0.3,0.85,1.00549150718624
"637","845",0.31,0.85,1.0428774648212
"638","845",0.32,0.85,1.07798228072973
"639","845",0.33,0.85,1.11340045220249
"640","845",0.34,0.85,1.14674554386128
"641","845",0.35,0.85,1.17540497508232
"642","845",0.36,0.85,1.20924473507039
"643","845",0.37,0.85,1.23906135768268
"644","845",0.38,0.85,1.27153436402576
"645","845",0.39,0.85,1.306283751594
"646","845",0.4,0.85,1.33604364582289
