"ID","Z","coho.pres.m","coho.pres.stan","score.coho.pres","numspp.stan","numspp","score.numsp"
332,-0.668571050873619,0.590640910755508,4359.57,7.56451685283705,3,3,0.668571050873619
2295,-0.61595564517639,0.582594038942656,4334.36,7.56806838293814,3,3,0.61595564517639
394,1.10612038168871,0.637179344326069,4505.37,7.56962812219872,3,3,1.10612038168871
733,0.907176597027833,0.60929139548478,4418,7.57081142223901,2,2,1.35017383258416
140,0.741085971348296,0.58667971761003,4347.16,7.57521264213821,3,3,0.741085971348296
2257,-0.956643260156278,0.608171025787711,4414.49,7.57800935489947,2,2,1.38389534546599
2470,-0.68885762029795,0.577665689050136,4318.92,7.57925824219064,2,2,1.21430013631003
543,1.52255777254517,0.700290311991166,4703.09,7.57975827626754,1,1,2.51359944516578
684,-0.0235131010838429,0.541264845672998,4204.88,7.58432644536991,2,2,1.00027639476426
2686,1.547031715593,0.697663348285503,4694.86,7.58728404547724,3,3,1.547031715593
112,0.54159411340775,0.55452734165967,4246.43,7.59037427339318,3,3,0.54159411340775
567,1.13877205739782,0.613635621005324,4431.61,7.59774520479195,1,1,2.30147817689199
544,1.68754277394458,0.707379602866352,4725.3,7.60770165737818,1,1,2.61683026081031
2093,1.11676424009568,0.599795384519594,4388.25,7.60816783432914,1,1,2.29066854170491
136,0.339738928737686,0.524823180973275,4153.37,7.60832073050925,1,1,2.02865042323704
34,-0.831592761627743,0.554275178679418,4245.64,7.61681181840576,3,3,0.831592761627743
291,-1.23093123078742,0.590388747775256,4358.78,7.63504549940665,1,1,2.34844452668736
1508,-0.43537640062179,0.480100959247821,4013.26,7.65784027642675,1,1,2.04683966402315
615,0.186038826417722,0.469021747799027,3978.55,7.65879295211115,3,3,0.186038826417722
2641,0.83391828319967,0.509316753656006,4104.79,7.66175582598997,1,1,2.16689171465828
539,1.17973769866404,0.552324905503038,4239.53,7.66456735401999,2,2,1.54653840484132
2666,0.961610631496205,0.520475763516272,4139.75,7.66563257743738,1,1,2.21916538514067
2116,-0.226031937592805,0.462548500660406,3958.27,7.66633919416653,3,3,0.226031937592805
2534,0.35537268267604,0.465497849948417,3967.51,7.66829595678569,2,2,1.06126798858364
1516,1.17409110074154,0.542177739500239,4207.74,7.67372779079277,2,2,1.54223536233627
2662,-0.295222326386773,0.4478911284412,3912.35,7.68333757792251,3,3,0.295222326386773
162,-0.00169066862713662,0.43981233726376,3887.04,7.68574269171872,1,1,2.00000071458997
120,-0.121407908070832,0.439119687052181,3884.87,7.68739392038676,3,3,0.121407908070832
2634,0.212754198403262,0.437507759140444,3879.82,7.69099033369867,1,1,2.0112842536395
2656,1.16966704700568,0.521892983304017,4144.19,7.69310045936669,1,1,2.3169205857886
2816,1.48305352015728,0.570011425421727,4294.94,7.69971974029055,2,2,1.78870001499718
77,-0.173693703561086,0.427009480127167,3846.93,7.70050454238778,2,2,1.01497266103909
854,0.277582651128959,0.428056435285682,3850.21,7.70250179262813,2,2,1.03781121992768
126,0.944348262112171,0.479737078491508,4012.12,7.70391607746943,1,1,2.21173995762483
266,-0.870570235278395,0.46657672447152,3970.89,7.70829672204668,2,2,1.32585539730118
121,0.820593455456111,0.459481049723416,3948.66,7.70986776952528,3,3,0.820593455456111
2025,-0.888286607346566,0.466273490507926,3969.94,7.71061890731795,3,3,0.888286607346566
2115,0.525429661359597,0.421717249478334,3830.35,7.7217349084815,3,3,0.525429661359597
2307,0.152530053912341,0.4050202298619,3778.04,7.72204118937983,3,3,0.152530053912341
731,-0.74717753531955,0.433214604603242,3866.37,7.72854272246787,2,2,1.24830856333128
2321,0.272849712202006,0.389456347688371,3729.28,7.74090866081503,3,3,0.272849712202006
2290,0.0794245847409182,0.383554457175891,3710.79,7.74240778047965,2,2,1.00314917368319
2567,-1.09372871305177,0.457830818574172,3943.49,7.74533628792039,1,1,2.27952681444064
2096,0.158737263431193,0.381604183999511,3704.68,7.74557740444867,3,3,0.158737263431193
398,0.24351677605772,0.382737321442416,3708.23,7.74664595762777,3,3,0.24351677605772
678,-0.230541906992951,0.37988692218463,3699.3,7.74909808370615,2,2,1.02623075907904
2653,0.317763427474592,0.379526233364776,3698.17,7.7525436353237,3,3,0.317763427474592
2080,-0.132121890059002,0.373713717073145,3679.96,7.75296698276952,3,3,0.132121890059002
685,-0.244979710496738,0.374463822140983,3682.31,7.75496144881887,2,2,1.02957032715355
87,1.13230509329012,0.453700452796373,3930.55,7.75496386898373,1,1,2.29828519211406
2483,-0.455998113975487,0.382054247040214,3706.09,7.75691535083688,1,1,2.0513250059289
2622,0.833238220409535,0.41304475811954,3803.18,7.75738987945058,3,3,0.833238220409535
2903,0.893334734538244,0.417290033609859,3816.48,7.75985781571305,2,2,1.34091272942444
76,-0.242424197231164,0.366732952037561,3658.09,7.76260823612477,2,2,1.02896525276764
148,0.369296545777862,0.364080452840226,3649.78,7.77025512118493,1,1,2.03380921886087
2593,-1.39045299032712,0.480707427175009,4015.16,7.77026714663143,1,1,2.43584882911679
110,0.37153167179714,0.356869868379602,3627.19,7.77756401571293,3,3,0.37153167179714
2646,0.483896670544414,0.361300276184536,3641.07,7.77931905545402,2,2,1.11092573458534
952,0.655171036690586,0.369746140054749,3667.53,7.78343225861639,2,2,1.19551206071633
149,-0.114432527394783,0.342103970320795,3580.93,7.78429202247765,2,2,1.00652610662911
2064,-0.407375670449313,0.349129422466803,3602.94,7.78708849689414,2,2,1.07979393259734
2619,0.281929234894721,0.342269951016657,3581.45,7.78838929456771,1,1,2.0197732777439
390,0.975069398350868,0.3879401778704,3724.53,7.79881023221482,3,3,0.975069398350868
2797,0.970244729097212,0.385223839943888,3716.02,7.80090372147243,1,1,2.22292033918018
65,-1.19844656352937,0.397953282541926,3755.9,7.81998082115925,3,3,1.19844656352937
2688,1.13689316089442,0.387716742318278,3723.83,7.82091200130266,3,3,1.13689316089442
611,1.2541389255283,0.397161682300122,3753.42,7.82949074278443,1,1,2.36069151828977
2297,1.37331186604812,0.415403599162657,3810.57,7.83150162387413,2,2,1.69881884891491
690,-1.03743901743693,0.360987466411565,3640.09,7.83356791385338,2,2,1.44093015614932
135,0.155126234098658,0.290633994921255,3419.68,7.83645639588712,1,1,2.0060070160659
1915,-0.494086749564127,0.304413584614267,3462.85,7.83673224629968,3,3,0.494086749564127
107,0.0523237659148076,0.288817783076149,3413.99,7.8369117337979,1,1,2.000684327044
2623,0.467756706871521,0.301725974115884,3454.43,7.8377990856415,2,2,1.10399109453985
586,-0.429305233486417,0.297487082498484,3441.15,7.83983085576323,1,1,2.04555688835555
692,0.353389888401282,0.291371332243258,3421.99,7.8421499407951,1,1,2.03098114546253
2156,-1.90667059670742,0.508649638936099,4102.7,7.85191936105477,3,3,1.90667059670742
2063,-0.833133823640673,0.314621397409785,3494.83,7.85523986011936,2,2,1.30158056534896
866,0.787468815068782,0.308534374582689,3475.76,7.85658425391312,2,2,1.27283429192721
2645,-0.0423924531412655,0.268395773612195,3350.01,7.85727343053704,3,3,0.0423924531412655
722,-0.601253079792389,0.286870701836228,3407.89,7.86170937718815,2,2,1.16683557794568
166,0.929447557517318,0.316246093067358,3499.92,7.86442470333485,1,1,2.20541895388947
2766,0.57890025577114,0.282344535937528,3393.71,7.86454534143068,2,2,1.15547631136769
2331,-0.427118251832737,0.271523871341903,3359.81,7.86563617931125,3,3,0.427118251832737
2111,1.38096987521422,0.381961680882906,3705.8,7.86576842127365,3,3,1.38096987521422
1918,-0.867819324612878,0.307736390467967,3473.26,7.86583725596941,2,2,1.3240507468264
270,-1.36994380415895,0.374256346271155,3681.66,7.87142772388941,1,1,2.42420007972805
93,0.955154954026229,0.311218793144612,3484.17,7.87249445136322,1,1,2.21637564194359
2557,-0.827312346491625,0.290327569021202,3418.72,7.87878367224499,2,2,1.29786197981815
97,0.709042430272865,0.276231977618761,3374.56,7.88128229499492,2,2,1.22586343771533
609,1.20340028472674,0.336617031547969,3563.74,7.88135295976651,3,3,1.20340028472674
2343,0.00126288696101983,0.242809210957763,3269.85,7.88274573323553,1,1,2.00000039872083
633,1.23462716907486,0.336783012243832,3564.26,7.88601742825055,3,3,1.23462716907486
2931,1.52444402376781,0.379328333304325,3697.55,7.89480555312058,1,1,2.51474244836353
74,-0.358256992875868,0.237382918977657,3252.85,7.89630320949985,3,3,0.358256992875868
2610,0.072914254821719,0.228751922792829,3225.81,7.8971395359097,3,3,0.072914254821719
89,1.10564256437396,0.302677171180633,3457.41,7.90062406072332,1,1,2.2852670478864
1892,-1.60194834633767,0.383142697372694,3709.5,7.90640147839466,3,3,1.60194834633767
2251,-1.25942597779492,0.309721774945394,3479.48,7.91665335490414,2,2,1.60815229177609
1188,-0.909392400653035,0.259001904613693,3320.58,7.91894245914675,1,1,2.19704222498465
2922,1.54524070462247,0.345136309956736,3590.43,7.93238182294685,3,3,1.54524070462247
712,-0.454861533696168,0.198754103952216,3131.83,7.93984061375832,2,2,1.09858955703958
2643,0.440727769080985,0.192475564937587,3112.16,7.94531231601023,3,3,0.440727769080985
2310,0.885793027782952,0.229757382777378,3228.96,7.94532861632583,3,3,0.885793027782952
2592,-1.35993866296071,0.295412323800208,3434.65,7.94736214340778,2,2,1.68802641182399
392,0.982144569816863,0.231564018813107,3234.62,7.95485380688085,2,2,1.40164473245568
329,-0.742838950879505,0.201039530456779,3138.99,7.95925578469223,2,2,1.24571654357794
2664,0.497957695688191,0.181131422762706,3076.62,7.9600141549618,2,2,1.11712213597936
2558,-0.926294479462531,0.21957829740999,3197.07,7.96005569092214,1,1,2.20409198144786
863,0.694893095998022,0.192663889188662,3112.75,7.96326787822744,2,2,1.21773413143663
476,1.17922264150722,0.24935268069848,3290.35,7.96398936087715,2,2,1.54614554238702
693,0.420324723232828,0.171766281192334,3047.28,7.96488702740886,2,2,1.08474553373626
1519,0.674186153098879,0.187457840824218,3096.44,7.96667502697733,2,2,1.20603771459696
2595,-0.0399345747209283,0.158101601211842,3004.47,7.96755332149226,2,2,1.00079706747079
757,-0.804323856718366,0.191814834090598,3110.09,7.97440702472213,2,2,1.28333038087871
1515,0.908502611597214,0.202463134117442,3143.45,7.97500841523841,2,2,1.35106513361827
106,0.600418566320395,0.16856796086053,3037.26,7.97960792882738,3,3,0.600418566320395
760,-0.410321038119553,0.155934276356258,2997.68,7.98017639724074,2,2,1.08090857815243
40,-0.871848189725571,0.191486064635333,3109.06,7.98182727489329,3,3,0.871848189725571
132,0.822685702078726,0.186053388782308,3092.04,7.98201071825963,1,1,2.16259375852349
299,-1.03744119680682,0.210513197866753,3168.67,7.98274191500051,1,1,2.25306108146938
850,0.280700851527727,0.137963674092729,2941.38,7.99252185797065,2,2,1.03864958867194
370,1.3120987174841,0.238394762835124,3256.02,7.99555483847423,3,3,1.3120987174841
73,-0.373686528856775,0.13807539186879,2941.73,7.99621595534895,3,3,0.373686528856775
459,-0.415177984743159,0.133590721144055,2927.68,8.00274098572065,2,2,1.08276163536366
2630,0.0778020243562722,0.123025411465142,2894.58,8.00290762523605,1,1,2.00151271667055
719,-0.239677261231035,0.123973416593431,2897.55,8.0051702363817,2,2,1.02832153996268
