WADOE_ID	AWM_Imperv_SQ	AWM_Imperv_MG	AWM_Imperv_UG
847	1.5640403819	1.5640403819	1.4648137909
849	1.7328964000	1.7328964000	1.7328964000
850	2.1405770417	2.1405770417	2.1405770417
851	1.9407803839	1.9407803839	1.9407803839
852	2.5154956225	2.5154956225	2.5154956225
853	3.3204604793	3.4843796767	3.3798889112
854	1.8343125297	1.8343125297	1.8343125297
855	3.3108237108	3.1689213911	3.1128275701
856	2.3385862602	2.3385862602	2.3385862602
857	8.4956015576	7.7080669009	5.8437692597
858	31.4653929913	31.6159362023	33.4384708203
860	9.6059829662	6.8600192643	13.0484057724
861	11.2876684200	11.2876684200	11.2876684200
862	1.8250291679	1.7799454622	1.7799454622
863	6.2823742008	6.2823742008	6.2823742008
864	1.0534672871	1.0534672871	1.0534672871
865	15.9260111657	15.7619389707	15.6741774969
866	26.5618361180	27.9570726917	27.9023708099
867	16.1249697558	16.5370638764	16.5186607251
868	37.6869065757	35.8556156992	37.1094023243
869	4.2726331070	4.3319722793	4.4578952643
870	5.4550328604	5.4550328604	5.4550328604
871	14.6959630864	14.7630792856	14.5175653375
872	1.0128300541	1.0128300541	1.0128300541
873	32.5544443234	21.0524136109	27.3254088829
874	24.3128579997	24.8930794225	23.1404431869
875	12.8460605221	12.6448240347	12.8319893937
876	1.7508954400	1.7508954400	1.7508954400
877	10.0214824183	10.0214824183	10.0214824183
878	0.6328410547	0.6328410547	0.6328410547
879	0.5953955660	0.5953955660	0.5953955660
880	3.0005315117	2.9801699679	3.0202392083
881	23.9158708156	25.6229885879	23.7934907258
882	0.5977604316	0.5977604316	0.5977604316
883	11.4950777285	11.4950777285	11.4950777285
884	1.1811515441	1.1811515441	1.1811515441
886	4.1957119018	4.1957119018	4.2473753482
887	24.0620850416	14.3440348819	9.6037534846
888	2.8503377270	2.4784583873	0.5118732280
889	1.3763523839	2.0923530533	3.7474732186
890	0.4228266319	0.5763103866	0.6856258544
891	6.2615568125	6.2615568125	6.2615568125
892	0.2918386084	0.3212799582	0.3212799582
893	1.5746891449	1.4631112358	1.5214308084
894	23.2925741169	23.2159002173	23.4802442931
895	21.6576161849	21.5536385356	20.1108395613
896	19.9291733818	15.8930173639	22.7653766041
897	0.9851518609	0.4443215628	1.0610606884
898	6.6069357596	6.2929340082	5.8633173818
899	4.4440297200	4.2039308479	3.9905974451
900	5.7105420338	5.0074666932	3.5798970415
901	7.8262843460	7.2406278418	7.4594539646
902	0.6300052203	0.3489447555	0.5932254552
903	0.4818097711	0.3270104213	0.5774826212
904	0.3651495406	0.3481886503	0.3841969737
905	5.0807713731	5.0807713731	5.0807713731
906	9.0825256834	9.0010222503	9.0484796142
907	8.9374796724	7.8986242783	8.4503453582
908	11.3276823487	10.5543219220	10.6757850830
909	6.6821615535	4.4851078901	3.5917771504
910	8.3360787674	8.3326383138	8.3292052182
911	2.1899790704	1.7131947558	3.7819149040
912	1.1470198861	0.7627800991	0.9437864138
913	0.3130157939	0.2813846778	0.3129170512
914	5.2612858618	5.2612858618	5.2418801227
915	1.5878597372	1.5878597372	1.5878597372
916	0.4957465658	0.4957465658	0.4957465658
917	3.9243756681	3.7813443760	3.5761218692
918	0.4610163511	0.4610163511	0.4610163511
919	0.4931290032	0.3061878832	0.5848167460
920	3.9221565014	3.9203799423	4.0262736630
921	0.2494159672	0.2494159672	0.2494159672
922	0.4562169968	0.2772155868	0.9160805129
923	2.0092800674	2.0092800674	2.0092800674
924	8.5377960941	8.4469918139	8.5012037831
925	2.4616938868	2.4095730503	2.4501758304
926	5.7423593011	5.7576832498	6.2867922463
927	1.2727941304	1.3682837822	1.5168692477
928	0.4821092336	0.4737723847	0.3843948102
929	0.3534279420	0.3534279420	0.3534279420
930	0.2546215766	0.2522308727	0.2569022089
931	5.3589767542	5.3589767542	5.3589767542
932	0.5703410687	0.6109275850	0.5892326425
933	1.3123939428	1.3123939428	1.3123939428
934	0.7223965740	0.7223965740	0.7223965740
935	0.2750798174	0.2750798174	0.2750798174
936	0.5638293994	0.7607178065	2.1641197244
937	0.9775202104	0.8326401632	1.1275752585
938	0.7959718290	0.2354591726	0.8956091197
939	2.7674585123	2.3693193982	3.0757328370
940	5.9364809999	5.8125358924	6.0328816190
941	0.3569542628	0.3569542628	0.3569542628
942	2.5430717116	2.5233276598	2.6460341404
943	0.3311375459	0.3311375459	0.3311375459
944	2.8417142132	2.7946357987	2.8872808517
946	0.9530764493	0.6863449909	0.7912820507
947	0.3528721000	0.3440612626	0.3469389174
949	3.4630458808	3.4630458808	3.4630458808
950	1.5500370875	1.5900216544	1.5969627860
951	3.8919895699	3.8494189196	4.1769394681
952	7.6066007891	7.8432385009	8.9323231866
954	4.3151113440	4.2969303562	4.3182994720
955	7.3401166004	5.9593526370	8.4909304466
956	5.5396753682	5.6767257307	5.3820361825
957	1.1850371553	1.0664740512	1.5483770306
958	21.1918802120	19.4722830241	14.3571737363
959	26.0191453054	23.7874946161	30.8662787695
961	4.7952421087	4.7144237051	5.0031457022
962	4.3936939520	3.0177468970	5.1642713852
963	19.6435086946	17.5333924567	13.6863598526
964	5.9523116111	5.9942186269	6.8248701482
967	1.4033551601	1.4033551601	1.4033551601
968	1.2139891208	1.2139891208	1.2139891208
969	0.7953762457	0.7953762457	0.7953762457
971	14.7515459385	10.8023303747	11.2600761005
972	0.7488858782	0.7488858782	0.7488858782
974	1.2645063594	1.2645063594	1.2645063594
975	5.0700339530	5.0700339530	5.0700339530
976	7.1735108271	7.1735108271	7.1735108271
978	0.8481805179	0.8481805179	0.8481805179
979	1.4564666919	1.4868143934	1.9608068379
981	13.7208718168	14.9273746637	15.0375088834
982	2.3015673716	1.8097196836	2.2057963851
983	5.2899826165	6.1180405150	8.0560603859
985	4.6193047419	4.6193047419	4.6193047419
990	3.0812364859	3.0812364859	3.0812364859
994	9.0632400252	9.0632400252	9.0632400252
997	8.9956948749	8.9956948749	8.9956948749
1001	11.8198615060	11.9557525410	11.6392055518
1002	24.1934592118	22.4417616734	23.6152084659
1005	17.6617615731	17.6617615731	17.7148504443
1008	26.6044633099	25.8002361796	25.5109785215
1009	12.3456861805	12.3380400015	12.3687490030
1011	33.1462888865	26.8787433237	32.8440776110
1012	41.1189457296	30.2493786702	44.1963248477
1017	14.7289013476	10.0226170427	18.0905621983
1020	34.6492371691	32.5609125637	34.4198646013
1021	12.2033448888	12.1413109978	12.0528445090
1022	6.7587322554	6.7587322554	6.7721955572
1024	19.2258694904	19.2258694904	19.2258694904
1026	1.2439488634	1.2439488634	1.2439488634
1028	14.2545887992	14.2545887992	14.2545887992
1035	14.4250936863	14.4250936863	14.4250936863
1038	4.9628450191	4.9521338962	4.9628450191
1042	6.0003126070	6.0003126070	6.0003126070
1045	1.6707484918	1.6707484918	1.6707484918
1046	0.8546296847	0.8546296847	0.8546296847
1048	3.7329046032	3.7329046032	3.7329046032
1049	0.7117886559	0.7068413288	0.7512612587
1050	24.2998428562	31.5407209310	31.2316079553
1051	26.7667867802	27.2306814236	37.0601795057
