Model.catch	axis1	axis2
1290	-0.19072	0.68416
1292	0.34034	-0.54088
1293	0.65982	0.37078
1294	0.9892	0.15818
1295	0.09169	0.52996
1298	0.20305	0.49803
1299	0.45099	-0.19609
1300	0.19455	0.6731
1302	0.22428	-0.87095
1303	0.11812	0.47631
1304	-0.58451	0.06295
1305	0.23203	-0.98674
1307	0.2339	-0.98693
1309	-0.56774	-0.23309
1310	0.23013	-0.98791
1311	-0.55485	-0.38758
1312	-0.0858	-0.73465
1314	-0.94656	0.27542
1315	0.56899	0.58293
1316	1.18628	0.0496
1317	-0.30713	-0.53306
1318	0.8847	-0.60726
1319	0.22817	-0.98813
1320	-0.2003	0.23837
1322	0.34453	0.49151
1325	0.5744	0.35157
1326	0.43678	-0.23394
1327	0.68151	0.55725
1328	0.55229	0.30709
1330	0.2288	-0.9881
1332	-0.69318	0.44343
1333	0.61321	-0.39362
1334	0.43486	0.28993
1335	0.60488	0.93072
1336	-0.00423	-0.80858
1337	0.1115	0.32826
1338	0.21852	0.2943
1339	0.54313	0.39525
1340	0.49487	0.25697
1344	0.51864	0.35973
1345	0.23368	-0.987
1346	-0.60761	-0.24712
1347	-0.42271	-0.34141
1348	0.22953	-0.98801
1349	0.23845	-0.98107
1351	0.2272	-0.98799
1352	-0.43173	-0.42872
1353	0.22712	-0.98789
1355	0.53849	-0.16467
1356	-0.05631	-0.75817
1358	-0.35484	0.02061
1359	-0.32301	0.26099
1360	0.55147	0.63878
1361	0.04834	0.40794
1362	0.23371	-0.98678
1363	0.23343	-0.98721
1364	0.23045	-0.9878
1365	0.1425	-0.9357
1366	-1.71121	-1.11846
1368	0.59776	0.37171
1369	0.23337	-0.9868
1370	0.62669	0.92291
1371	0.23275	-0.98705
1372	0.97053	0.59794
1373	1.17302	0.36653
1374	-0.60945	-0.24525
1375	0.01057	0.21381
1377	0.35045	0.39447
1378	-0.33528	0.04227
1380	-1.44382	0.42216
1381	-0.22839	-0.27778
1382	-0.25726	-0.58923
1383	0.52614	0.12929
1384	0.54053	0.62369
1385	0.00713	0.58171
1386	-0.00088	0.45025
1387	0.23019	-0.98689
1389	0.23198	-0.98733
1390	0.22992	-0.98788
1391	-0.80938	-0.02567
1392	0.09705	0.7564
1393	-0.07859	-0.74002
1394	0.22974	-0.98796
1395	0.22776	-0.98818
