Model.catch	axis1	axis2
1310	-0.02663	1.75104
1311	0.01882	-0.40623
1312	-0.02668	1.75103
1314	0.16997	-0.49535
1315	0.11032	-0.92566
1316	0.16274	-0.84429
1317	-0.02656	1.75105
1318	0.01915	-0.4952
1319	-0.02616	1.75105
1320	0.14079	-0.50396
1322	0.17097	-0.56535
1325	0.02501	-0.56378
1326	0.11245	-0.85682
1327	-0.06664	-0.86412
1328	0.0074	-0.86578
1330	-0.02623	1.75104
1332	0.01874	-0.40671
1333	0.02504	-0.76951
1334	-0.12855	-0.91801
1335	0.02094	-0.52246
1336	0.02311	-0.24945
1337	0.13761	-0.49317
1338	0.18354	-0.65329
1339	0.0789	-0.71094
1340	0.07838	-0.66391
1344	0.01906	-0.45777
1345	-0.02629	1.75105
1346	0.02161	-0.37189
1347	-0.02615	1.75105
1348	-0.02669	1.75104
1349	0.00622	0.08215
1351	-0.02612	1.75105
1352	0.01876	-0.44793
1353	0.02074	-0.13637
1355	0.15052	-0.77491
1356	-0.02668	1.75104
1358	0.02012	-0.36572
1359	0.01927	-0.39224
1360	0.13355	-0.55743
1361	0.02686	-0.57973
1362	-0.02657	1.75105
1363	-0.0263	1.75105
1364	0.02322	-0.3007
1365	-0.02614	1.75105
1366	-0.02674	1.75104
1368	-0.1095	-0.77229
1369	-0.02611	1.75105
1370	0.09114	-0.70619
1371	-0.02676	1.75104
1372	-0.04243	-0.95909
1373	-0.13672	-0.74787
